term,estimate,std.error,statistic,p.value
(Intercept),171.37092476114867,0.5126106748523819,334.310097639888,4.834433670524484e-14
self_height,-1.7885760692275209e-4,7.277956858748687e-5,-2.4575249674330086,0.04928472264788317
race3NH White,5.746967244546605,0.3987776660624357,14.411457144259467,6.991610502127697e-6
race3NH Black,4.511733445789517,0.4682550344050316,9.635205420742908,7.156256712772739e-5
race3NH Asian,-0.48754215573188464,0.6239638061748976,-0.7813628785949585,0.4642945685281272
race3NH Other,4.283824713669745,0.6823645047178525,6.277912587849279,7.595830837021696e-4
age_group_pursuant20-44,1.2590250355303574,0.37961515956023156,3.3165826069456386,0.016072531568272517
age_group_pursuant45-64,-0.7196045099946217,0.3459456449593831,-2.0801085964793953,0.08272236302283438
age_group_pursuant65+,-3.6987636333160374,0.3986883832178886,-9.277329837058767,8.869018844972825e-5
female,-13.674425516419818,0.23303568907208788,-58.67953346918349,1.6458832697601065e-9
