HOME_CBG,STREET_ADDRESS,LATITUDE,LONGITUDE,YearRange,Average_Visits
010510308001,1025 Ga-34 Walmart Supercenter,33.393687,-84.74375,2024-2025,7.0
010510308001,2717 Ga-54 In Walmart Supercenter,33.401154,-84.599935,2022-2023,4.0
010510308002,1025 Ga-34 Walmart Supercenter,33.393687,-84.74375,2024-2025,9.0
010510309012,1025 Ga 34 Walmart Supercenter,33.393687,-84.74375,2022-2023,7.0
010510309012,1025 Ga-34 Walmart Supercenter,33.393687,-84.74375,2024-2025,5.0
010510310001,1025 Ga-34 Walmart Supercenter,33.393687,-84.74375,2024-2025,8.0
010510311002,1025 Ga-34 Walmart Supercenter,33.393687,-84.74375,2024-2025,5.0
010539705001,1025 Ga 34 Walmart Supercenter,33.393687,-84.74375,2022-2023,7.0
010550004005,2717 Ga-54 In Walmart Supercenter,33.401154,-84.599935,2022-2023,4.0
010550012002,2717 Ga-54 In Walmart Supercenter,33.401154,-84.599935,2022-2023,4.0
010550105012,2717 Ga 54 In Walmart Supercenter,33.401154,-84.599935,2022-2023,4.0
010550105012,2717 Ga-54 In Walmart Supercenter,33.401154,-84.599935,2022-2023,4.0
010550108002,1025 Ga-34 Walmart Supercenter,33.393687,-84.74375,2022-2023,13.0
010550108002,1025 Ga-34 Walmart Supercenter,33.393687,-84.74375,2024-2025,3.6666666666666665
010550110021,2717 Ga-54 In Walmart Supercenter,33.401154,-84.599935,2022-2023,4.0
010599732003,1025 Ga-34 Walmart Supercenter,33.393687,-84.74375,2024-2025,5.0
010599735002,1025 Ga 34 Walmart Supercenter,33.393687,-84.74375,2022-2023,7.0
010630601001,2717 Ga-54 In Walmart Supercenter,33.401154,-84.599935,2022-2023,4.0
010670305003,1025 Ga-34 Walmart Supercenter,33.393687,-84.74375,2024-2025,5.0
010690402011,1025 Ga-34 Walmart Supercenter,33.3935,-84.743611,2022-2023,8.0
010690402011,1025 Ga-34 Walmart Supercenter,33.393687,-84.74375,2022-2023,10.333333333333334
010690402011,1025 Ga-34 Walmart Supercenter,33.393687,-84.74375,2024-2025,5.333333333333333
010690402011,2717 Ga-54 In Walmart Supercenter,33.401154,-84.599935,2022-2023,4.0
010690403011,1025 Ga-34 Walmart Supercenter,33.393687,-84.74375,2022-2023,7.0
010690403022,1025 Ga-34 Walmart Supercenter,33.393687,-84.74375,2022-2023,6.0
010690405003,2717 Ga-54 In Walmart Supercenter,33.401154,-84.599935,2022-2023,4.0
010690419002,1025 Ga-34 Walmart Supercenter,33.393687,-84.74375,2022-2023,8.0
010690419003,1025 Ga-34 Walmart Supercenter,33.393687,-84.74375,2022-2023,6.0
010690420004,1025 Ga-34 Walmart Supercenter,33.393687,-84.74375,2024-2025,1.0
010730027001,1025 Ga-34 Walmart Supercenter,33.393687,-84.74375,2024-2025,10.0
010730027001,2717 Ga-54 In Walmart Supercenter,33.401154,-84.599935,2022-2023,4.0
010730037001,1025 Ga-34 Walmart Supercenter,33.393687,-84.74375,2024-2025,5.0
010730107063,2717 Ga-54 In Walmart Supercenter,33.401154,-84.599935,2022-2023,4.0
010730107064,1025 Ga-34 Walmart Supercenter,33.393687,-84.74375,2022-2023,7.0
010730107064,2717 Ga-54 In Walmart Supercenter,33.401154,-84.599935,2022-2023,4.0
010730111046,2717 Ga-54 In Walmart Supercenter,33.401154,-84.599935,2022-2023,4.0
010730120022,1025 Ga-34 Walmart Supercenter,33.393687,-84.74375,2024-2025,6.0
010730123022,2717 Ga-54 In Walmart Supercenter,33.401154,-84.599935,2022-2023,4.0
010730127041,1025 Ga-34 Walmart Supercenter,33.393687,-84.74375,2022-2023,7.0
010730129082,1025 Ga 34 Walmart Supercenter,33.393687,-84.74375,2022-2023,7.0
010730129102,1025 Ga 34 Walmart Supercenter,33.393687,-84.74375,2022-2023,14.0
010730129102,2717 Ga 54 In Walmart Supercenter,33.401154,-84.599935,2022-2023,4.0
010730133002,2717 Ga-54 In Walmart Supercenter,33.401154,-84.599935,2022-2023,4.0
010730141041,1025 Ga-34 Walmart Supercenter,33.393687,-84.74375,2024-2025,5.0
010730144081,1025 Ga-34 Walmart Supercenter,33.393687,-84.74375,2024-2025,6.0
010730144081,2717 Ga-54 In Walmart Supercenter,33.401154,-84.599935,2022-2023,4.0
010730144082,2717 Ga-54 In Walmart Supercenter,33.401154,-84.599935,2022-2023,4.0
010730144101,1025 Ga-34 Walmart Supercenter,33.393687,-84.74375,2024-2025,8.0
010730144132,2717 Ga-54 In Walmart Supercenter,33.401154,-84.599935,2022-2023,4.0
010770115012,1025 Ga-34 Walmart Supercenter,33.393687,-84.74375,2024-2025,10.0
010810404001,1025 Ga 34 Walmart Supercenter,33.393687,-84.74375,2022-2023,7.0
010810404004,2717 Ga-54 In Walmart Supercenter,33.401154,-84.599935,2022-2023,4.0
