Start,Stop,fips,County_StateAbb,County,StateAbb,Obesity,Overweight,Ncount
2024-01-01T00:00:00Z,2025-07-10T00:00:00Z,37017,"BLADEN, NC",BLADEN,NC,44.9,30.7,22984
2024-01-01T00:00:00Z,2025-07-10T00:00:00Z,48145,"FALLS, TX",FALLS,TX,44.8,30.7,7300
2024-01-01T00:00:00Z,2025-07-10T00:00:00Z,13313,"WHITFIELD, GA",WHITFIELD,GA,44.8,34.5,53106
2024-01-01T00:00:00Z,2025-07-10T00:00:00Z,17003,"ALEXANDER, IL",ALEXANDER,IL,44.8,28.6,2559
2024-01-01T00:00:00Z,2025-07-10T00:00:00Z,48235,"IRION, TX",IRION,TX,44.8,38.8,918
2024-01-01T00:00:00Z,2025-07-10T00:00:00Z,37107,"LENOIR, NC",LENOIR,NC,44.7,31.3,40974
2024-01-01T00:00:00Z,2025-07-10T00:00:00Z,37139,"PASQUOTANK, NC",PASQUOTANK,NC,44.7,30.7,27222
2024-01-01T00:00:00Z,2025-07-10T00:00:00Z,48383,"REAGAN, TX",REAGAN,TX,44.7,32.3,1187
2024-01-01T00:00:00Z,2025-07-10T00:00:00Z,17127,"MASSAC, IL",MASSAC,IL,44.6,34.9,7740
2024-01-01T00:00:00Z,2025-07-10T00:00:00Z,29065,"DENT, MO",DENT,MO,44.5,30.2,8277
2024-01-01T00:00:00Z,2025-07-10T00:00:00Z,37041,"CHOWAN, NC",CHOWAN,NC,44.5,33.4,10950
2024-01-01T00:00:00Z,2025-07-10T00:00:00Z,48139,"ELLIS, TX",ELLIS,TX,44.5,33.4,120387
2024-01-01T00:00:00Z,2025-07-10T00:00:00Z,21105,"HICKMAN, KY",HICKMAN,KY,44.3,31.9,1732
2024-01-01T00:00:00Z,2025-07-10T00:00:00Z,21073,"FRANKLIN, KY",FRANKLIN,KY,44.3,33.9,29615
2024-01-01T00:00:00Z,2025-07-10T00:00:00Z,48365,"PANOLA, TX",PANOLA,TX,44.2,32.8,12325
2024-01-01T00:00:00Z,2025-07-10T00:00:00Z,29187,"SAINT FRANCOIS, MO",SAINT FRANCOIS,MO,44.2,29.3,9656
2024-01-01T00:00:00Z,2025-07-10T00:00:00Z,48051,"BURLESON, TX",BURLESON,TX,44.2,32.4,9402
2024-01-01T00:00:00Z,2025-07-10T00:00:00Z,21075,"FULTON, KY",FULTON,KY,44.2,31.7,3403
2024-01-01T00:00:00Z,2025-07-10T00:00:00Z,21197,"POWELL, KY",POWELL,KY,44.2,27.1,4564
2024-01-01T00:00:00Z,2025-07-10T00:00:00Z,13307,"WEBSTER, GA",WEBSTER,GA,44.2,24.4,86
