index,page,link,partition_key,file_name,file_extension,file_size_bytes,modified_at,external_id,download_link
0,1,https://app.deweydata.io/api/v1/downloads/01980fa9-3931-72c3-82cc-d308b59bd10c/link,2020-08-01,part-00000-tid-2431043605952247936-2673d869-cb5a-451d-9f00-134c5a2693bc-11929-1-c000.snappy.parquet,.snappy.parquet,364860336,2025-02-11T18:56:31.824000+00:00,dwll_01980fa9-3931-72c3-82cc-d308b59bd10c,https://app.deweydata.io/api/v1/downloads/01980fa9-3931-72c3-82cc-d308b59bd10c/link
1,1,https://app.deweydata.io/api/v1/downloads/01980fa9-3931-72c3-82cc-d3139e2a79fc/link,2020-08-01,part-00001-tid-2431043605952247936-2673d869-cb5a-451d-9f00-134c5a2693bc-11930-1-c000.snappy.parquet,.snappy.parquet,409656233,2025-02-11T19:01:56.473000+00:00,dwll_01980fa9-3931-72c3-82cc-d3139e2a79fc,https://app.deweydata.io/api/v1/downloads/01980fa9-3931-72c3-82cc-d3139e2a79fc/link
2,1,https://app.deweydata.io/api/v1/downloads/01980fa9-3931-72c3-82cc-d320064cd12a/link,2020-08-01,part-00002-tid-2431043605952247936-2673d869-cb5a-451d-9f00-134c5a2693bc-11931-1-c000.snappy.parquet,.snappy.parquet,363119222,2025-02-11T18:45:46.635000+00:00,dwll_01980fa9-3931-72c3-82cc-d320064cd12a,https://app.deweydata.io/api/v1/downloads/01980fa9-3931-72c3-82cc-d320064cd12a/link
3,1,https://app.deweydata.io/api/v1/downloads/01980fa9-3931-72c3-82cc-d3389b57304c/link,2020-08-01,part-00003-tid-2431043605952247936-2673d869-cb5a-451d-9f00-134c5a2693bc-11932-1-c000.snappy.parquet,.snappy.parquet,407856969,2025-02-11T18:50:05.035000+00:00,dwll_01980fa9-3931-72c3-82cc-d3389b57304c,https://app.deweydata.io/api/v1/downloads/01980fa9-3931-72c3-82cc-d3389b57304c/link
4,1,https://app.deweydata.io/api/v1/downloads/01980fa9-3931-72c3-82cc-d341fbe42408/link,2020-08-01,part-00004-tid-2431043605952247936-2673d869-cb5a-451d-9f00-134c5a2693bc-11933-1-c000.snappy.parquet,.snappy.parquet,407571564,2025-02-11T18:53:24.972000+00:00,dwll_01980fa9-3931-72c3-82cc-d341fbe42408,https://app.deweydata.io/api/v1/downloads/01980fa9-3931-72c3-82cc-d341fbe42408/link
5,1,https://app.deweydata.io/api/v1/downloads/01980fa9-3931-72c3-82cc-d35c3059077b/link,2020-08-01,part-00005-tid-2431043605952247936-2673d869-cb5a-451d-9f00-134c5a2693bc-11934-1-c000.snappy.parquet,.snappy.parquet,361752835,2025-02-11T18:56:31.846000+00:00,dwll_01980fa9-3931-72c3-82cc-d35c3059077b,https://app.deweydata.io/api/v1/downloads/01980fa9-3931-72c3-82cc-d35c3059077b/link
6,1,https://app.deweydata.io/api/v1/downloads/01980fa9-3931-72c3-82cc-d3602f033de3/link,2020-08-01,part-00006-tid-2431043605952247936-2673d869-cb5a-451d-9f00-134c5a2693bc-11935-1-c000.snappy.parquet,.snappy.parquet,406703721,2025-02-11T19:01:56.487000+00:00,dwll_01980fa9-3931-72c3-82cc-d3602f033de3,https://app.deweydata.io/api/v1/downloads/01980fa9-3931-72c3-82cc-d3602f033de3/link
7,1,https://app.deweydata.io/api/v1/downloads/01980fa9-3931-72c3-82cc-d374ac65d2a3/link,2020-08-01,part-00007-tid-2431043605952247936-2673d869-cb5a-451d-9f00-134c5a2693bc-11936-1-c000.snappy.parquet,.snappy.parquet,360784747,2025-02-11T18:45:46.600000+00:00,dwll_01980fa9-3931-72c3-82cc-d374ac65d2a3,https://app.deweydata.io/api/v1/downloads/01980fa9-3931-72c3-82cc-d374ac65d2a3/link
8,1,https://app.deweydata.io/api/v1/downloads/01980fa9-3931-72c3-82cc-d3860f569d54/link,2020-08-01,part-00008-tid-2431043605952247936-2673d869-cb5a-451d-9f00-134c5a2693bc-11937-1-c000.snappy.parquet,.snappy.parquet,405570803,2025-02-11T18:50:05.006000+00:00,dwll_01980fa9-3931-72c3-82cc-d3860f569d54,https://app.deweydata.io/api/v1/downloads/01980fa9-3931-72c3-82cc-d3860f569d54/link
9,1,https://app.deweydata.io/api/v1/downloads/01980fa9-3931-72c3-82cc-d398828e4137/link,2020-08-01,part-00009-tid-2431043605952247936-2673d869-cb5a-451d-9f00-134c5a2693bc-11938-1-c000.snappy.parquet,.snappy.parquet,374253463,2025-02-11T18:56:31.777000+00:00,dwll_01980fa9-3931-72c3-82cc-d398828e4137,https://app.deweydata.io/api/v1/downloads/01980fa9-3931-72c3-82cc-d398828e4137/link
