index,page,link,partition_key,file_name,file_extension,file_size_bytes,modified_at,external_id,download_link,partition_key_dt,date,is_weekday,year,month,date_dt
256,6,https://app.deweydata.io/api/v1/downloads/019805a8-6767-7b73-91d0-9cebfdd76b22/link,2024-12-02,part-00000-tid-3900123142972219622-a0b40fad-b26d-4831-ac7c-5f67350cf951-1149-1-c000.snappy.parquet,.snappy.parquet,29995156,2025-02-11T19:14:41.816000+00:00,dwll_019805a8-6767-7b73-91d0-9cebfdd76b22,https://app.deweydata.io/api/v1/downloads/019805a8-6767-7b73-91d0-9cebfdd76b22/link,2024-12-02,2024-12-02,True,2024,12,2024-12-02
257,6,https://app.deweydata.io/api/v1/downloads/019805a8-6767-7b73-91d0-9cf0b4115ae0/link,2024-12-02,part-00001-tid-3900123142972219622-a0b40fad-b26d-4831-ac7c-5f67350cf951-1237-1-c000.snappy.parquet,.snappy.parquet,29822736,2025-02-11T19:15:47.658000+00:00,dwll_019805a8-6767-7b73-91d0-9cf0b4115ae0,https://app.deweydata.io/api/v1/downloads/019805a8-6767-7b73-91d0-9cf0b4115ae0/link,2024-12-02,2024-12-02,True,2024,12,2024-12-02
258,6,https://app.deweydata.io/api/v1/downloads/019805a8-6767-7b73-91d0-9d0436ae6c9b/link,2024-12-02,part-00002-tid-3900123142972219622-a0b40fad-b26d-4831-ac7c-5f67350cf951-1346-1-c000.snappy.parquet,.snappy.parquet,29860582,2025-02-11T19:17:21.137000+00:00,dwll_019805a8-6767-7b73-91d0-9d0436ae6c9b,https://app.deweydata.io/api/v1/downloads/019805a8-6767-7b73-91d0-9d0436ae6c9b/link,2024-12-02,2024-12-02,True,2024,12,2024-12-02
259,6,https://app.deweydata.io/api/v1/downloads/019805a8-6767-7b73-91d0-9d1aa1bdc299/link,2024-12-02,part-00003-tid-3900123142972219622-a0b40fad-b26d-4831-ac7c-5f67350cf951-1260-1-c000.snappy.parquet,.snappy.parquet,29793094,2025-02-11T19:18:35.794000+00:00,dwll_019805a8-6767-7b73-91d0-9d1aa1bdc299,https://app.deweydata.io/api/v1/downloads/019805a8-6767-7b73-91d0-9d1aa1bdc299/link,2024-12-02,2024-12-02,True,2024,12,2024-12-02
260,6,https://app.deweydata.io/api/v1/downloads/019805a8-6767-7b73-91d0-9d2effd60e3a/link,2024-12-02,part-00004-tid-3900123142972219622-a0b40fad-b26d-4831-ac7c-5f67350cf951-1221-1-c000.snappy.parquet,.snappy.parquet,29703510,2025-02-11T19:14:41.801000+00:00,dwll_019805a8-6767-7b73-91d0-9d2effd60e3a,https://app.deweydata.io/api/v1/downloads/019805a8-6767-7b73-91d0-9d2effd60e3a/link,2024-12-02,2024-12-02,True,2024,12,2024-12-02
261,6,https://app.deweydata.io/api/v1/downloads/019805a8-6767-7b73-91d0-9d3ca2681d6c/link,2024-12-02,part-00005-tid-3900123142972219622-a0b40fad-b26d-4831-ac7c-5f67350cf951-1164-1-c000.snappy.parquet,.snappy.parquet,30009155,2025-02-11T19:15:47.746000+00:00,dwll_019805a8-6767-7b73-91d0-9d3ca2681d6c,https://app.deweydata.io/api/v1/downloads/019805a8-6767-7b73-91d0-9d3ca2681d6c/link,2024-12-02,2024-12-02,True,2024,12,2024-12-02
262,6,https://app.deweydata.io/api/v1/downloads/019805a8-6767-7b73-91d0-9d4df57595a4/link,2024-12-02,part-00006-tid-3900123142972219622-a0b40fad-b26d-4831-ac7c-5f67350cf951-1376-1-c000.snappy.parquet,.snappy.parquet,29530552,2025-02-11T19:17:21.184000+00:00,dwll_019805a8-6767-7b73-91d0-9d4df57595a4,https://app.deweydata.io/api/v1/downloads/019805a8-6767-7b73-91d0-9d4df57595a4/link,2024-12-02,2024-12-02,True,2024,12,2024-12-02
263,6,https://app.deweydata.io/api/v1/downloads/019805a8-6767-7b73-91d0-9d5f86d47464/link,2024-12-02,part-00007-tid-3900123142972219622-a0b40fad-b26d-4831-ac7c-5f67350cf951-1239-1-c000.snappy.parquet,.snappy.parquet,29948244,2025-02-11T19:18:36.030000+00:00,dwll_019805a8-6767-7b73-91d0-9d5f86d47464,https://app.deweydata.io/api/v1/downloads/019805a8-6767-7b73-91d0-9d5f86d47464/link,2024-12-02,2024-12-02,True,2024,12,2024-12-02
264,6,https://app.deweydata.io/api/v1/downloads/019805a8-6767-7b73-91d0-9d67f64e236f/link,2024-12-02,part-00008-tid-3900123142972219622-a0b40fad-b26d-4831-ac7c-5f67350cf951-1266-1-c000.snappy.parquet,.snappy.parquet,29775029,2025-02-11T19:13:03.044000+00:00,dwll_019805a8-6767-7b73-91d0-9d67f64e236f,https://app.deweydata.io/api/v1/downloads/019805a8-6767-7b73-91d0-9d67f64e236f/link,2024-12-02,2024-12-02,True,2024,12,2024-12-02
265,6,https://app.deweydata.io/api/v1/downloads/019805a8-6767-7b73-91d0-9d7d4cde6b4a/link,2024-12-02,part-00009-tid-3900123142972219622-a0b40fad-b26d-4831-ac7c-5f67350cf951-1370-1-c000.snappy.parquet,.snappy.parquet,29624510,2025-02-11T19:14:42.337000+00:00,dwll_019805a8-6767-7b73-91d0-9d7d4cde6b4a,https://app.deweydata.io/api/v1/downloads/019805a8-6767-7b73-91d0-9d7d4cde6b4a/link,2024-12-02,2024-12-02,True,2024,12,2024-12-02
266,6,https://app.deweydata.io/api/v1/downloads/019805a8-6767-7b73-91d0-9d8426253e38/link,2024-12-02,part-00010-tid-3900123142972219622-a0b40fad-b26d-4831-ac7c-5f67350cf951-1236-1-c000.snappy.parquet,.snappy.parquet,29852998,2025-02-11T19:15:47.938000+00:00,dwll_019805a8-6767-7b73-91d0-9d8426253e38,https://app.deweydata.io/api/v1/downloads/019805a8-6767-7b73-91d0-9d8426253e38/link,2024-12-02,2024-12-02,True,2024,12,2024-12-02
267,6,https://app.deweydata.io/api/v1/downloads/019805a8-6767-7b73-91d0-9d922941f7f3/link,2024-12-02,part-00011-tid-3900123142972219622-a0b40fad-b26d-4831-ac7c-5f67350cf951-1273-1-c000.snappy.parquet,.snappy.parquet,29654903,2025-02-11T19:17:21.282000+00:00,dwll_019805a8-6767-7b73-91d0-9d922941f7f3,https://app.deweydata.io/api/v1/downloads/019805a8-6767-7b73-91d0-9d922941f7f3/link,2024-12-02,2024-12-02,True,2024,12,2024-12-02
268,6,https://app.deweydata.io/api/v1/downloads/019805a8-6767-7b73-91d0-9dab67c4f785/link,2024-12-02,part-00012-tid-3900123142972219622-a0b40fad-b26d-4831-ac7c-5f67350cf951-1156-1-c000.snappy.parquet,.snappy.parquet,29913362,2025-02-11T19:18:36.274000+00:00,dwll_019805a8-6767-7b73-91d0-9dab67c4f785,https://app.deweydata.io/api/v1/downloads/019805a8-6767-7b73-91d0-9dab67c4f785/link,2024-12-02,2024-12-02,True,2024,12,2024-12-02
269,6,https://app.deweydata.io/api/v1/downloads/019805a8-6767-7b73-91d0-9db70af45721/link,2024-12-02,part-00013-tid-3900123142972219622-a0b40fad-b26d-4831-ac7c-5f67350cf951-1146-1-c000.snappy.parquet,.snappy.parquet,30062296,2025-02-11T19:13:03.140000+00:00,dwll_019805a8-6767-7b73-91d0-9db70af45721,https://app.deweydata.io/api/v1/downloads/019805a8-6767-7b73-91d0-9db70af45721/link,2024-12-02,2024-12-02,True,2024,12,2024-12-02
270,6,https://app.deweydata.io/api/v1/downloads/019805a8-6767-7b73-91d0-9dcafeb4e15b/link,2024-12-02,part-00014-tid-3900123142972219622-a0b40fad-b26d-4831-ac7c-5f67350cf951-1240-1-c000.snappy.parquet,.snappy.parquet,29860934,2025-02-11T19:15:47.781000+00:00,dwll_019805a8-6767-7b73-91d0-9dcafeb4e15b,https://app.deweydata.io/api/v1/downloads/019805a8-6767-7b73-91d0-9dcafeb4e15b/link,2024-12-02,2024-12-02,True,2024,12,2024-12-02
271,6,https://app.deweydata.io/api/v1/downloads/019805a8-6767-7b73-91d0-9dda2d9687f0/link,2024-12-02,part-00015-tid-3900123142972219622-a0b40fad-b26d-4831-ac7c-5f67350cf951-1180-1-c000.snappy.parquet,.snappy.parquet,29816213,2025-02-11T19:17:21.325000+00:00,dwll_019805a8-6767-7b73-91d0-9dda2d9687f0,https://app.deweydata.io/api/v1/downloads/019805a8-6767-7b73-91d0-9dda2d9687f0/link,2024-12-02,2024-12-02,True,2024,12,2024-12-02
272,6,https://app.deweydata.io/api/v1/downloads/019805a8-6767-7b73-91d0-9de65b5c39a9/link,2024-12-02,part-00016-tid-3900123142972219622-a0b40fad-b26d-4831-ac7c-5f67350cf951-1316-1-c000.snappy.parquet,.snappy.parquet,29705000,2025-02-11T19:18:36.275000+00:00,dwll_019805a8-6767-7b73-91d0-9de65b5c39a9,https://app.deweydata.io/api/v1/downloads/019805a8-6767-7b73-91d0-9de65b5c39a9/link,2024-12-02,2024-12-02,True,2024,12,2024-12-02
