index,page,link,partition_key,file_name,file_extension,file_size_bytes,modified_at,external_id,download_link,partition_key_dt,date,is_weekday,year,month,date_dt
20,1,https://app.deweydata.io/api/v1/downloads/01980e47-8917-7133-a085-37e4771b2bac/link,2022-10-03,part-00000-tid-2058990475311463902-24e5bd02-09d3-444a-9313-8237e38347e4-22388-1-c000.snappy.parquet,.snappy.parquet,309655037,2025-02-11T18:55:29.329000+00:00,dwll_01980e47-8917-7133-a085-37e4771b2bac,https://app.deweydata.io/api/v1/downloads/01980e47-8917-7133-a085-37e4771b2bac/link,2022-10-03,2022-10-03,True,2022,10,2022-10-03
21,1,https://app.deweydata.io/api/v1/downloads/01980e47-8917-7133-a085-37f35b935acb/link,2022-10-03,part-00001-tid-2058990475311463902-24e5bd02-09d3-444a-9313-8237e38347e4-22389-1-c000.snappy.parquet,.snappy.parquet,346946628,2025-02-11T18:58:42.973000+00:00,dwll_01980e47-8917-7133-a085-37f35b935acb,https://app.deweydata.io/api/v1/downloads/01980e47-8917-7133-a085-37f35b935acb/link,2022-10-03,2022-10-03,True,2022,10,2022-10-03
22,1,https://app.deweydata.io/api/v1/downloads/01980e47-8917-7133-a085-38065a6a9d51/link,2022-10-03,part-00002-tid-2058990475311463902-24e5bd02-09d3-444a-9313-8237e38347e4-22391-1-c000.snappy.parquet,.snappy.parquet,330739111,2025-02-11T18:44:33.697000+00:00,dwll_01980e47-8917-7133-a085-38065a6a9d51,https://app.deweydata.io/api/v1/downloads/01980e47-8917-7133-a085-38065a6a9d51/link,2022-10-03,2022-10-03,True,2022,10,2022-10-03
23,1,https://app.deweydata.io/api/v1/downloads/01980e47-8917-7133-a085-381066945768/link,2022-10-03,part-00003-tid-2058990475311463902-24e5bd02-09d3-444a-9313-8237e38347e4-22385-1-c000.snappy.parquet,.snappy.parquet,295837676,2025-02-11T18:48:21.553000+00:00,dwll_01980e47-8917-7133-a085-381066945768,https://app.deweydata.io/api/v1/downloads/01980e47-8917-7133-a085-381066945768/link,2022-10-03,2022-10-03,True,2022,10,2022-10-03
24,1,https://app.deweydata.io/api/v1/downloads/01980e47-8917-7133-a085-3824232f9a24/link,2022-10-03,part-00004-tid-2058990475311463902-24e5bd02-09d3-444a-9313-8237e38347e4-22384-1-c000.snappy.parquet,.snappy.parquet,305906101,2025-02-11T18:52:19.718000+00:00,dwll_01980e47-8917-7133-a085-3824232f9a24,https://app.deweydata.io/api/v1/downloads/01980e47-8917-7133-a085-3824232f9a24/link,2022-10-03,2022-10-03,True,2022,10,2022-10-03
25,1,https://app.deweydata.io/api/v1/downloads/01980e47-8917-7133-a085-383ecc35d5e8/link,2022-10-03,part-00005-tid-2058990475311463902-24e5bd02-09d3-444a-9313-8237e38347e4-22383-1-c000.snappy.parquet,.snappy.parquet,328808939,2025-02-11T18:55:29.340000+00:00,dwll_01980e47-8917-7133-a085-383ecc35d5e8,https://app.deweydata.io/api/v1/downloads/01980e47-8917-7133-a085-383ecc35d5e8/link,2022-10-03,2022-10-03,True,2022,10,2022-10-03
26,1,https://app.deweydata.io/api/v1/downloads/01980e47-8917-7133-a085-384e889f6f96/link,2022-10-03,part-00006-tid-2058990475311463902-24e5bd02-09d3-444a-9313-8237e38347e4-22382-1-c000.snappy.parquet,.snappy.parquet,302616505,2025-02-11T18:58:43.009000+00:00,dwll_01980e47-8917-7133-a085-384e889f6f96,https://app.deweydata.io/api/v1/downloads/01980e47-8917-7133-a085-384e889f6f96/link,2022-10-03,2022-10-03,True,2022,10,2022-10-03
27,1,https://app.deweydata.io/api/v1/downloads/01980e47-8917-7133-a085-385953b27154/link,2022-10-03,part-00007-tid-2058990475311463902-24e5bd02-09d3-444a-9313-8237e38347e4-22387-1-c000.snappy.parquet,.snappy.parquet,269181010,2025-02-11T18:44:33.636000+00:00,dwll_01980e47-8917-7133-a085-385953b27154,https://app.deweydata.io/api/v1/downloads/01980e47-8917-7133-a085-385953b27154/link,2022-10-03,2022-10-03,True,2022,10,2022-10-03
28,1,https://app.deweydata.io/api/v1/downloads/01980e47-8917-7133-a085-3862446d12c4/link,2022-10-03,part-00008-tid-2058990475311463902-24e5bd02-09d3-444a-9313-8237e38347e4-22386-1-c000.snappy.parquet,.snappy.parquet,326949080,2025-02-11T18:48:23.458000+00:00,dwll_01980e47-8917-7133-a085-3862446d12c4,https://app.deweydata.io/api/v1/downloads/01980e47-8917-7133-a085-3862446d12c4/link,2022-10-03,2022-10-03,True,2022,10,2022-10-03
29,1,https://app.deweydata.io/api/v1/downloads/01980e47-8917-7133-a085-387b6c4c9e3d/link,2022-10-03,part-00009-tid-2058990475311463902-24e5bd02-09d3-444a-9313-8237e38347e4-22390-1-c000.snappy.parquet,.snappy.parquet,333556153,2025-02-11T18:55:29.310000+00:00,dwll_01980e47-8917-7133-a085-387b6c4c9e3d,https://app.deweydata.io/api/v1/downloads/01980e47-8917-7133-a085-387b6c4c9e3d/link,2022-10-03,2022-10-03,True,2022,10,2022-10-03
