index,page,link,partition_key,file_name,file_extension,file_size_bytes,modified_at,external_id,download_link,partition_key_dt,date,is_weekday,year,month,date_dt
0,1,https://app.deweydata.io/api/v1/downloads/01981114-3e56-7a92-b9cd-9b909c874282/link,2019-11-01,part-00000-tid-5372840699652781882-46c7a62b-4cdf-4c04-8a84-bb26b930eda5-27914-1-c000.snappy.parquet,.snappy.parquet,371863270,2025-02-11T18:45:07.153000+00:00,dwll_01981114-3e56-7a92-b9cd-9b909c874282,https://app.deweydata.io/api/v1/downloads/01981114-3e56-7a92-b9cd-9b909c874282/link,2019-11-01,2019-11-01,True,2019,11,2019-11-01
1,1,https://app.deweydata.io/api/v1/downloads/01981114-3e56-7a92-b9cd-9ba234d55b89/link,2019-11-01,part-00001-tid-5372840699652781882-46c7a62b-4cdf-4c04-8a84-bb26b930eda5-27915-1-c000.snappy.parquet,.snappy.parquet,417569270,2025-02-11T18:48:58.046000+00:00,dwll_01981114-3e56-7a92-b9cd-9ba234d55b89,https://app.deweydata.io/api/v1/downloads/01981114-3e56-7a92-b9cd-9ba234d55b89/link,2019-11-01,2019-11-01,True,2019,11,2019-11-01
2,1,https://app.deweydata.io/api/v1/downloads/01981114-3e56-7a92-b9cd-9bb2d049aea7/link,2019-11-01,part-00002-tid-5372840699652781882-46c7a62b-4cdf-4c04-8a84-bb26b930eda5-27916-1-c000.snappy.parquet,.snappy.parquet,370334561,2025-02-11T18:52:46.898000+00:00,dwll_01981114-3e56-7a92-b9cd-9bb2d049aea7,https://app.deweydata.io/api/v1/downloads/01981114-3e56-7a92-b9cd-9bb2d049aea7/link,2019-11-01,2019-11-01,True,2019,11,2019-11-01
3,1,https://app.deweydata.io/api/v1/downloads/01981114-3e56-7a92-b9cd-9bc437df6b0d/link,2019-11-01,part-00003-tid-5372840699652781882-46c7a62b-4cdf-4c04-8a84-bb26b930eda5-27917-1-c000.snappy.parquet,.snappy.parquet,416297328,2025-02-11T18:55:55.733000+00:00,dwll_01981114-3e56-7a92-b9cd-9bc437df6b0d,https://app.deweydata.io/api/v1/downloads/01981114-3e56-7a92-b9cd-9bc437df6b0d/link,2019-11-01,2019-11-01,True,2019,11,2019-11-01
4,1,https://app.deweydata.io/api/v1/downloads/01981114-3e56-7a92-b9cd-9bd6920ad5cd/link,2019-11-01,part-00004-tid-5372840699652781882-46c7a62b-4cdf-4c04-8a84-bb26b930eda5-27918-1-c000.snappy.parquet,.snappy.parquet,415463058,2025-02-11T18:59:31.431000+00:00,dwll_01981114-3e56-7a92-b9cd-9bd6920ad5cd,https://app.deweydata.io/api/v1/downloads/01981114-3e56-7a92-b9cd-9bd6920ad5cd/link,2019-11-01,2019-11-01,True,2019,11,2019-11-01
5,1,https://app.deweydata.io/api/v1/downloads/01981114-3e56-7a92-b9cd-9be1602ca4e9/link,2019-11-01,part-00005-tid-5372840699652781882-46c7a62b-4cdf-4c04-8a84-bb26b930eda5-27919-1-c000.snappy.parquet,.snappy.parquet,368687351,2025-02-11T18:45:08.484000+00:00,dwll_01981114-3e56-7a92-b9cd-9be1602ca4e9,https://app.deweydata.io/api/v1/downloads/01981114-3e56-7a92-b9cd-9be1602ca4e9/link,2019-11-01,2019-11-01,True,2019,11,2019-11-01
6,1,https://app.deweydata.io/api/v1/downloads/01981114-3e56-7a92-b9cd-9bfc886dd030/link,2019-11-01,part-00006-tid-5372840699652781882-46c7a62b-4cdf-4c04-8a84-bb26b930eda5-27920-1-c000.snappy.parquet,.snappy.parquet,414752366,2025-02-11T18:48:58.064000+00:00,dwll_01981114-3e56-7a92-b9cd-9bfc886dd030,https://app.deweydata.io/api/v1/downloads/01981114-3e56-7a92-b9cd-9bfc886dd030/link,2019-11-01,2019-11-01,True,2019,11,2019-11-01
7,1,https://app.deweydata.io/api/v1/downloads/01981114-3e56-7a92-b9cd-9c04370afc78/link,2019-11-01,part-00007-tid-5372840699652781882-46c7a62b-4cdf-4c04-8a84-bb26b930eda5-27921-1-c000.snappy.parquet,.snappy.parquet,367829432,2025-02-11T18:52:46.906000+00:00,dwll_01981114-3e56-7a92-b9cd-9c04370afc78,https://app.deweydata.io/api/v1/downloads/01981114-3e56-7a92-b9cd-9c04370afc78/link,2019-11-01,2019-11-01,True,2019,11,2019-11-01
8,1,https://app.deweydata.io/api/v1/downloads/01981114-3e56-7a92-b9cd-9c17306879d3/link,2019-11-01,part-00008-tid-5372840699652781882-46c7a62b-4cdf-4c04-8a84-bb26b930eda5-27922-1-c000.snappy.parquet,.snappy.parquet,413665378,2025-02-11T18:55:55.797000+00:00,dwll_01981114-3e56-7a92-b9cd-9c17306879d3,https://app.deweydata.io/api/v1/downloads/01981114-3e56-7a92-b9cd-9c17306879d3/link,2019-11-01,2019-11-01,True,2019,11,2019-11-01
9,1,https://app.deweydata.io/api/v1/downloads/01981114-3e56-7a92-b9cd-9c2dba684259/link,2019-11-01,part-00009-tid-5372840699652781882-46c7a62b-4cdf-4c04-8a84-bb26b930eda5-27923-1-c000.snappy.parquet,.snappy.parquet,381307716,2025-02-11T18:45:08.520000+00:00,dwll_01981114-3e56-7a92-b9cd-9c2dba684259,https://app.deweydata.io/api/v1/downloads/01981114-3e56-7a92-b9cd-9c2dba684259/link,2019-11-01,2019-11-01,True,2019,11,2019-11-01
230,5,https://app.deweydata.io/api/v1/downloads/01981114-6679-77b1-95f8-ea6ea9706b0b/link,2019-11-24,part-00000-tid-7885519875427211735-09135654-62b5-44ae-80c2-e5a04364d4c4-32600-1-c000.snappy.parquet,.snappy.parquet,349872105,2025-02-11T18:45:08.525000+00:00,dwll_01981114-6679-77b1-95f8-ea6ea9706b0b,https://app.deweydata.io/api/v1/downloads/01981114-6679-77b1-95f8-ea6ea9706b0b/link,2019-11-24,2019-11-24,False,2019,11,2019-11-24
231,5,https://app.deweydata.io/api/v1/downloads/01981114-6679-77b1-95f8-ea72015ec090/link,2019-11-24,part-00001-tid-7885519875427211735-09135654-62b5-44ae-80c2-e5a04364d4c4-32601-1-c000.snappy.parquet,.snappy.parquet,391987237,2025-02-11T18:48:58.928000+00:00,dwll_01981114-6679-77b1-95f8-ea72015ec090,https://app.deweydata.io/api/v1/downloads/01981114-6679-77b1-95f8-ea72015ec090/link,2019-11-24,2019-11-24,False,2019,11,2019-11-24
232,5,https://app.deweydata.io/api/v1/downloads/01981114-6679-77b1-95f8-ea8f72a551ab/link,2019-11-24,part-00002-tid-7885519875427211735-09135654-62b5-44ae-80c2-e5a04364d4c4-32602-1-c000.snappy.parquet,.snappy.parquet,348085202,2025-02-11T18:52:52.543000+00:00,dwll_01981114-6679-77b1-95f8-ea8f72a551ab,https://app.deweydata.io/api/v1/downloads/01981114-6679-77b1-95f8-ea8f72a551ab/link,2019-11-24,2019-11-24,False,2019,11,2019-11-24
233,5,https://app.deweydata.io/api/v1/downloads/01981114-6679-77b1-95f8-ea92c8624002/link,2019-11-24,part-00003-tid-7885519875427211735-09135654-62b5-44ae-80c2-e5a04364d4c4-32603-1-c000.snappy.parquet,.snappy.parquet,391021055,2025-02-11T18:55:57.729000+00:00,dwll_01981114-6679-77b1-95f8-ea92c8624002,https://app.deweydata.io/api/v1/downloads/01981114-6679-77b1-95f8-ea92c8624002/link,2019-11-24,2019-11-24,False,2019,11,2019-11-24
234,5,https://app.deweydata.io/api/v1/downloads/01981114-6679-77b1-95f8-eaa336d6e131/link,2019-11-24,part-00004-tid-7885519875427211735-09135654-62b5-44ae-80c2-e5a04364d4c4-32604-1-c000.snappy.parquet,.snappy.parquet,390185259,2025-02-11T18:59:32.640000+00:00,dwll_01981114-6679-77b1-95f8-eaa336d6e131,https://app.deweydata.io/api/v1/downloads/01981114-6679-77b1-95f8-eaa336d6e131/link,2019-11-24,2019-11-24,False,2019,11,2019-11-24
235,5,https://app.deweydata.io/api/v1/downloads/01981114-6679-77b1-95f8-eab4d79108ea/link,2019-11-24,part-00005-tid-7885519875427211735-09135654-62b5-44ae-80c2-e5a04364d4c4-32605-1-c000.snappy.parquet,.snappy.parquet,346950320,2025-02-11T18:45:08.605000+00:00,dwll_01981114-6679-77b1-95f8-eab4d79108ea,https://app.deweydata.io/api/v1/downloads/01981114-6679-77b1-95f8-eab4d79108ea/link,2019-11-24,2019-11-24,False,2019,11,2019-11-24
236,5,https://app.deweydata.io/api/v1/downloads/01981114-6679-77b1-95f8-eac19b17abaa/link,2019-11-24,part-00006-tid-7885519875427211735-09135654-62b5-44ae-80c2-e5a04364d4c4-32606-1-c000.snappy.parquet,.snappy.parquet,389430765,2025-02-11T18:48:58.994000+00:00,dwll_01981114-6679-77b1-95f8-eac19b17abaa,https://app.deweydata.io/api/v1/downloads/01981114-6679-77b1-95f8-eac19b17abaa/link,2019-11-24,2019-11-24,False,2019,11,2019-11-24
237,5,https://app.deweydata.io/api/v1/downloads/01981114-6679-77b1-95f8-eadbd357b507/link,2019-11-24,part-00007-tid-7885519875427211735-09135654-62b5-44ae-80c2-e5a04364d4c4-32607-1-c000.snappy.parquet,.snappy.parquet,345905319,2025-02-11T18:52:52.492000+00:00,dwll_01981114-6679-77b1-95f8-eadbd357b507,https://app.deweydata.io/api/v1/downloads/01981114-6679-77b1-95f8-eadbd357b507/link,2019-11-24,2019-11-24,False,2019,11,2019-11-24
238,5,https://app.deweydata.io/api/v1/downloads/01981114-6679-77b1-95f8-eae5d73ee534/link,2019-11-24,part-00008-tid-7885519875427211735-09135654-62b5-44ae-80c2-e5a04364d4c4-32608-1-c000.snappy.parquet,.snappy.parquet,388441610,2025-02-11T18:56:21.385000+00:00,dwll_01981114-6679-77b1-95f8-eae5d73ee534,https://app.deweydata.io/api/v1/downloads/01981114-6679-77b1-95f8-eae5d73ee534/link,2019-11-24,2019-11-24,False,2019,11,2019-11-24
239,5,https://app.deweydata.io/api/v1/downloads/01981114-6679-77b1-95f8-eaf0a3e8fa06/link,2019-11-24,part-00009-tid-7885519875427211735-09135654-62b5-44ae-80c2-e5a04364d4c4-32609-1-c000.snappy.parquet,.snappy.parquet,358783087,2025-02-11T18:45:08.586000+00:00,dwll_01981114-6679-77b1-95f8-eaf0a3e8fa06,https://app.deweydata.io/api/v1/downloads/01981114-6679-77b1-95f8-eaf0a3e8fa06/link,2019-11-24,2019-11-24,False,2019,11,2019-11-24
